"Genre","Rating","Vote"
"фантастика, боевик",7.9,519827
"комедия, драма",8.3,427620
"фантастика, боевик",7.4,333451
"биография, музыка",8,325807
"фантастика, боевик",7.4,324871
"мультфильм, фантастика",8,257746
"фантастика, боевик",7.6,211472
"мультфильм, фантастика",7.3,168491
"мультфильм, комедия",7.1,150733
"боевик, триллер",7.2,122277
"мелодрама, музыка",7.3,120093
"триллер, драма",7.1,115951
"драма",8.2,112511
"ужасы, триллер",7,110768
"боевик, триллер",7,100286
"боевик, триллер",7.7,96715
"детектив, триллер",7.4,93356
"драма, комедия",7.4,84144
"мультфильм, фантастика",8.1,83502
"криминал, драма",7.2,81658
